participant,nuc_acc_to_nuc_acc,nuc_acc_to_caudate,nuc_acc_to_putamen,caudate_to_nuc_acc,caudate_to_caudate,caudate_to_putamen,putamen_to_nuc_acc,putamen_to_caudate,putamen_to_putamen
17,-0.137593423086866,0.0887055222873909,0.0877668709458675,0.0857635754003936,-0.150397527393647,0.144593709627465,0.0908526630503571,0.14286304834468,-0.147141736598863
18,-0.129579907409378,0.120561623638205,0.0491397768167707,0.164279065063563,-0.176019423931202,0.203314014284632,0.117306130065778,0.260109347481494,-0.131008824694197
19,-0.0696185004044179,0.0959668924245246,0.0661402717531548,0.10037971016585,-0.094314946549328,0.119906210054367,0.0685215314425082,0.117817675616142,-0.0663329511200871
20,-0.0649163531682783,0.047714234732464,0.0301595532959177,0.0480520786078225,-0.0711990770345623,0.0271501955196022,0.032354299706431,0.0271653756905551,-0.0285230424360524
21,-0.0420234472532635,0.0495874902776541,0.0390900407774439,0.0420671118432627,-0.0695184998195545,0.0714712049483886,0.0344102380129333,0.0757268803130513,-0.0396192219806171
22,-0.127186885724014,0.134436766952305,0.0906916377384918,0.130734542297998,-0.202944041198455,0.11500488140538,0.102871575665859,0.155265282268227,-0.102166424728015
23,-0.106617822445899,0.110388907713166,0.112999928925957,0.110736066501511,-0.0912419866257256,0.108757703465894,0.122577257592755,0.116370383600219,-0.0655269200061099
24,-0.167929466996963,0.127017619035397,0.061186204187422,0.127159770790077,-0.193172858497132,0.15518599660576,0.105706086596238,0.219831950817529,-0.122201274274499
25,-0.140946862844311,0.125656349562419,0.0277213135397377,0.155869572428374,-0.164559020436261,0.172777443040396,0.0628589506270299,0.207390173790431,-0.0965518358155042
26,-0.0957427738348592,0.0265533608441155,0.0347033387534063,0.0210347802406177,-0.130165257231504,0.185711998144814,0.0297192859548582,0.201633962314201,-0.103070743533427
27,-0.0740655250091648,0.112722110817264,0.0856149412629551,0.114322117206114,-0.0713074800846841,0.089029167001089,0.08810669194856,0.0905603554508421,-0.0488418440623218
28,-0.18112394453949,0.122309196279065,0.137990799007606,0.100064479374191,-0.180915865509832,0.127752301809059,0.179585122216896,0.210366776513228,-0.118588670723994
