Participant,TE,Model,BIC
21,3,1,159.074275874285
21,4,1,159.074275874285
21,1,2,165.820479943721
21,2,2,165.820479943721
21,3,2,165.820479943721
21,4,2,165.820479943721
21,1,3,160.295339619548
21,2,3,160.295339619548
21,3,3,160.295339619548
21,4,3,160.295339619548
21,1,4,164.065336088704
21,2,4,164.065336088704
21,3,4,164.065336088704
21,4,4,164.065336088704
21,1,5,150.822551017229
21,2,5,150.822551017229
21,3,5,150.822551017229
21,4,5,150.822551017229
22,1,1,-4418.44065949883
22,2,1,-4418.44065949883
22,3,1,-4418.44065949883
22,4,1,-4418.44065949883
22,1,2,-4461.00982373654
22,2,2,-4461.00982373654
22,3,2,-4461.00982373654
22,4,2,-4461.00982373654
22,1,3,-4412.93102461172
22,2,3,-4412.93102461172
22,3,3,-4412.93102461172
22,4,3,-4412.93102461172
22,1,4,-4482.55420866086
22,2,4,-4482.55420866086
22,3,4,-4482.55420866086
22,4,4,-4482.55420866086
22,1,5,-4414.32707336185
22,2,5,-4414.32707336185
22,3,5,-4414.32707336185
22,4,5,-4414.32707336185
23,1,1,-1139.73182296948
23,2,1,-1139.73182296948
23,3,1,-1139.73182296948
23,4,1,-1139.73182296948
23,1,2,-1157.93189858422
23,2,2,-1157.93189858422
23,3,2,-1157.93189858422
23,4,2,-1157.93189858422
23,1,3,-1147.55481420172
23,2,3,-1147.55481420172
23,3,3,-1147.55481420172
23,4,3,-1147.55481420172
23,1,4,-1161.58820562663
23,2,4,-1161.58820562663
23,3,4,-1161.58820562663
23,4,4,-1161.58820562663
23,1,5,-1156.01383330488
23,2,5,-1156.01383330488
23,3,5,-1156.01383330488
23,4,5,-1156.01383330488
24,1,1,-4978.92326711269
24,2,1,-4978.92326711269
24,3,1,-4978.92326711269
24,4,1,-4978.92326711269
24,1,2,-5029.68799742665
24,2,2,-5029.68799742665
24,3,2,-5029.68799742665
24,4,2,-5029.68799742665
24,1,3,-4994.22092062037
24,2,3,-4994.22092062037
24,3,3,-4994.22092062037
24,4,3,-4994.22092062037
24,1,4,-5075.74168874017
24,2,4,-5075.74168874017
24,3,4,-5075.74168874017
24,4,4,-5075.74168874017
24,1,5,-5012.10403730634
24,2,5,-5012.10403730634
24,3,5,-5012.10403730634
24,4,5,-5012.10403730634
25,1,1,-3786.96854711659
25,2,1,-3786.96854711659
25,3,1,-3786.96854711659
25,4,1,-3786.96854711659
25,1,2,-3746.70802583387
25,2,2,-3746.70802583387
25,3,2,-3746.70802583387
25,4,2,-3746.70802583387
25,1,3,-3795.84571357067
25,2,3,-3795.84571357067
25,3,3,-3795.84571357067
25,4,3,-3795.84571357067
25,1,4,-3779.97370629584
25,2,4,-3779.97370629584
25,3,4,-3779.97370629584
25,4,4,-3779.97370629584
25,1,5,-3859.94644915946
25,2,5,-3859.94644915946
25,3,5,-3859.94644915946
25,4,5,-3859.94644915946
26,1,1,-1797.46594549823
26,2,1,-1797.46594549823
26,3,1,-1797.46594549823
26,4,1,-1797.46594549823
26,1,2,-1873.47422166707
26,2,2,-1873.47422166707
26,3,2,-1873.47422166707
26,4,2,-1873.47422166707
26,1,3,-1799.39297577763
26,2,3,-1799.39297577763
26,3,3,-1799.39297577763
26,4,3,-1799.39297577763
26,1,4,-1878.52331451627
26,2,4,-1878.52331451627
26,3,4,-1878.52331451627
26,4,4,-1878.52331451627
26,1,5,-1849.42529644509
26,2,5,-1849.42529644509
26,3,5,-1849.42529644509
26,4,5,-1849.42529644509
27,1,1,-597.00149185335
27,2,1,-597.00149185335
27,3,1,-597.00149185335
27,4,1,-597.00149185335
27,1,2,-615.307189965134
27,2,2,-615.307189965134
27,3,2,-615.307189965134
27,4,2,-615.307189965134
27,1,3,-599.11298292383
27,2,3,-599.11298292383
27,3,3,-599.11298292383
27,4,3,-599.11298292383
27,1,4,-648.064212869457
27,2,4,-648.064212869457
27,3,4,-648.064212869457
27,4,4,-648.064212869457
27,1,5,-590.688050408559
